temperature,humidity,light_intensity,air_pressure,rainfall,label
17.94,83.53,905.14,1026.32,28.48,cauliflower
15.81,53.92,948.98,981.71,9.41,cauliflower
25.09,92.43,324.85,1016.4,15.79,cauliflower
17.23,58.68,817.68,1020.45,19.34,cauliflower
20.12,73.7,547.08,1027.15,2.21,cauliflower
15.42,80.23,245.28,1010.0,3.38,cauliflower
26.07,72.13,268.95,1003.06,23.58,cauliflower
16.86,64.84,116.67,999.39,15.04,cauliflower
11.43,70.99,719.44,1027.33,16.71,cauliflower
15.72,81.0,918.45,1002.56,8.71,cauliflower
12.05,60.79,235.67,987.38,19.03,cauliflower
16.36,81.95,360.32,1026.44,23.26,cauliflower
19.36,64.86,577.87,1005.64,4.42,cauliflower
24.96,51.26,967.06,1000.89,9.3,cauliflower
16.59,93.67,760.86,1010.1,7.34,cauliflower
22.61,72.18,639.8,1020.16,21.52,cauliflower
26.92,65.69,582.7,1016.87,5.89,cauliflower
24.61,87.55,458.53,981.65,13.79,cauliflower
17.04,59.59,850.32,1000.71,26.67,cauliflower
27.74,53.04,781.97,1000.83,2.68,chili
19.72,72.52,388.57,1026.83,13.95,chili
15.83,71.79,491.52,1025.75,17.97,chili
12.0,95.92,926.56,985.47,19.61,chili
26.01,92.35,340.23,999.3,5.96,chili
12.73,48.5,890.3,980.88,27.86,chili
18.49,76.11,986.84,1022.95,16.7,chili
12.48,87.3,697.93,1016.56,10.69,chili
20.96,93.41,527.56,985.72,8.11,chili
23.78,69.78,266.81,1007.93,20.33,chili
26.34,90.87,764.16,1007.34,29.81,chili
16.09,59.04,481.58,1015.18,10.4,chili
11.4,94.32,119.91,985.99,3.56,chili
15.9,52.32,521.69,997.69,29.35,chili
27.57,72.17,205.15,998.75,1.75,chili
11.95,47.83,381.76,1023.44,28.12,chili
22.79,68.53,609.24,991.35,17.37,chili
18.74,93.81,696.09,1011.97,18.95,chili
25.89,53.89,665.69,996.89,12.61,chili
18.34,52.66,896.09,982.43,14.71,chili
21.67,94.19,390.51,1002.85,25.97,chili
21.34,95.8,595.53,1018.4,12.68,chili
16.76,48.93,249.34,1006.54,3.95,chili
13.84,79.22,960.1,986.87,7.76,chili
17.04,88.65,625.5,984.73,5.21,chili
16.58,77.5,502.58,997.11,28.7,chili
25.31,78.72,964.3,1016.85,29.82,chili
26.24,72.21,786.52,997.24,15.18,chili
17.48,51.9,449.14,1012.47,19.83,chili
21.3,55.48,504.31,1014.95,25.71,chili
27.41,75.52,135.86,990.25,5.59,chili
14.33,91.38,986.26,1028.76,14.52,chili
18.44,65.98,667.02,990.87,24.3,chili
26.82,83.0,304.19,1022.43,7.62,chili
13.17,53.3,700.38,988.97,28.01,chili
25.37,79.59,452.18,1000.19,0.31,chili
14.98,52.76,712.57,1001.71,22.49,chili
19.24,70.09,568.6,981.87,20.38,chili
27.16,48.72,984.04,1011.29,1.71,chili
20.94,80.38,890.57,983.74,29.28,chili
14.55,83.29,217.03,1018.07,17.3,chili
22.21,48.09,519.94,1006.01,5.02,chili
21.93,50.12,969.43,1022.87,15.4,chili
27.94,83.73,420.05,986.12,14.84,chili
20.45,85.92,830.74,982.54,7.4,chili
12.93,52.75,909.85,1018.43,26.43,chili
14.15,93.77,501.69,1029.24,9.13,chili
20.67,51.4,390.9,1006.98,28.73,chili
13.08,91.92,635.69,1019.76,21.55,chili
11.95,91.85,206.59,993.19,29.81,chili
11.53,82.6,322.75,996.94,4.56,chili
23.12,78.25,216.62,995.8,26.64,chili
21.13,90.76,856.59,1021.39,27.85,chili
22.34,65.06,681.48,1005.82,2.95,chili
11.32,86.69,508.19,997.63,6.2,chili
25.02,66.68,292.74,994.66,12.3,chili
15.29,83.71,277.87,1014.35,4.62,chili
21.82,75.82,435.54,1024.6,25.37,chili
16.83,56.0,169.87,1023.75,5.59,chili
21.41,48.65,192.36,1029.34,21.41,chili
26.94,68.47,731.42,1029.45,4.96,chili
14.21,82.89,842.79,988.72,9.64,chili
16.75,88.28,224.22,1015.97,8.52,chili
11.77,52.63,336.09,1016.13,17.02,chili
14.73,76.53,299.97,987.55,9.3,chili
11.33,64.2,130.61,983.54,19.38,chili
12.89,48.33,344.51,1008.41,11.67,chili
22.55,71.29,751.2,996.43,22.88,chili
22.74,57.84,680.74,1027.28,1.07,chili
24.89,83.33,852.02,1011.53,16.62,chili
23.82,85.55,109.3,982.72,7.13,chili
26.33,72.17,340.05,981.86,23.31,chili
22.63,84.37,147.69,1018.21,7.78,chili
14.82,69.99,218.74,992.57,21.55,chili
12.16,57.72,756.41,990.27,8.6,chili
23.82,76.26,412.49,996.25,23.13,chili
16.67,54.04,632.69,997.04,0.04,chili
11.63,82.52,848.1,1018.39,17.25,chili
16.83,55.84,309.55,1003.68,28.32,chili
23.89,83.89,586.79,1014.06,3.36,chili
12.44,61.13,718.25,1012.96,1.87,chili
23.51,94.96,666.86,1014.46,11.35,chili
12.44,89.3,733.81,982.98,25.78,chili
15.03,64.2,839.46,1006.82,26.03,chili
11.92,58.71,964.78,1012.82,21.22,chili
20.38,60.3,747.44,986.97,11.69,chili
17.96,77.3,827.16,1025.07,27.62,chili
26.63,55.18,681.44,1018.79,24.15,chili
21.73,60.49,305.51,992.25,28.73,chili
23.23,81.26,136.47,982.7,16.28,chili
18.23,87.03,887.24,1017.41,0.89,chili
14.52,50.96,990.58,1016.97,22.64,chili
13.34,93.19,600.81,983.04,10.27,chili
18.06,48.67,855.85,991.53,29.36,chili
26.79,78.94,333.15,983.79,19.81,chili
26.85,72.34,732.2,1003.34,22.11,chili
14.04,73.74,637.12,1026.53,8.55,chili
27.93,93.9,406.02,1005.88,2.62,chili
13.46,79.61,596.57,1026.18,13.8,chili
22.9,92.2,126.88,1016.5,15.76,chili
19.94,52.38,571.55,992.83,18.26,cucumber
11.99,74.14,851.57,1016.28,7.34,cucumber
26.38,91.55,599.55,1001.77,29.29,cucumber
12.56,77.06,544.87,1007.99,12.49,cucumber
22.66,77.74,686.32,986.58,11.89,cucumber
20.48,86.85,348.92,1020.44,23.12,cucumber
24.14,51.77,987.73,1001.08,3.84,cucumber
15.38,94.67,534.12,1023.78,3.31,cucumber
26.78,66.28,925.77,992.61,17.43,cucumber
25.4,68.75,418.15,997.48,6.43,cucumber
14.09,59.68,450.42,1007.72,10.7,cucumber
13.39,60.74,762.6,1019.37,13.14,cucumber
17.15,54.93,649.16,1003.86,12.33,cucumber
19.26,63.56,178.49,1028.01,27.19,cucumber
23.51,48.21,352.63,991.19,13.25,cucumber
11.12,76.87,747.47,989.84,2.58,cucumber
18.05,65.46,738.81,981.27,12.57,cucumber
21.44,93.01,653.72,987.94,26.53,cucumber
21.72,83.05,640.64,986.15,25.59,cucumber
23.43,82.75,257.57,1005.46,27.4,cucumber
27.56,84.15,631.57,1006.14,12.88,cucumber
19.32,85.28,296.7,1016.77,6.98,cucumber
20.85,52.44,897.08,992.18,2.01,cucumber
17.37,70.19,530.02,999.89,16.3,cucumber
16.64,84.48,799.69,997.6,8.45,cucumber
12.01,85.92,810.05,1027.32,1.49,cucumber
27.63,93.41,387.95,1008.06,10.07,cucumber
16.91,77.24,141.99,1028.68,13.65,cucumber
16.56,86.13,406.95,980.64,20.91,cucumber
19.04,49.55,594.94,996.78,27.6,cucumber
12.64,60.56,742.61,1014.1,4.09,cucumber
11.89,75.75,713.5,995.94,13.09,cucumber
27.21,65.09,138.72,995.55,8.81,cucumber
15.21,53.61,119.34,1023.31,7.99,cucumber
23.29,73.74,701.65,1016.47,0.87,cucumber
16.73,58.28,694.98,988.07,24.25,cucumber
11.79,57.76,316.0,1017.49,10.84,cucumber
12.48,71.59,445.68,1008.46,15.75,cucumber
22.95,56.23,249.51,997.44,15.07,cucumber
13.86,65.1,599.36,1004.64,4.11,cucumber
14.63,83.96,547.69,987.89,27.5,cucumber
27.78,53.44,300.35,1029.73,18.43,cucumber
15.74,56.11,354.8,995.67,9.1,cucumber
19.93,92.61,854.68,1012.74,4.77,cucumber
13.48,90.81,881.27,993.85,13.55,cucumber
12.41,94.02,981.99,997.91,16.98,cucumber
14.91,94.96,252.98,988.35,6.87,cucumber
23.62,59.17,719.61,1022.86,22.19,cucumber
27.14,55.74,754.21,1025.14,0.72,cucumber
22.97,48.91,208.32,1017.76,7.91,cucumber
26.81,83.43,273.87,1023.29,10.93,cucumber
20.22,86.9,226.08,1026.45,1.9,cucumber
12.03,73.35,400.24,1026.14,18.94,cucumber
17.22,62.06,292.82,992.91,8.3,cucumber
24.86,66.29,495.96,984.76,3.17,cucumber
17.81,58.39,117.26,982.74,16.59,cucumber
27.96,74.39,295.15,1006.19,7.93,cucumber
24.37,74.47,994.18,1010.03,17.11,cucumber
17.59,69.38,742.3,984.98,9.17,cucumber
24.95,55.75,424.9,999.77,3.87,cucumber
13.42,63.2,360.22,1008.69,29.55,cucumber
25.63,74.81,843.74,997.04,27.43,cucumber
16.35,62.11,888.12,1028.8,23.96,cucumber
26.78,50.66,471.92,1026.77,2.45,cucumber
19.3,72.47,403.42,985.83,4.58,cucumber
20.35,65.59,938.79,998.55,14.13,cucumber
20.67,68.53,285.62,1028.51,4.23,cucumber
17.29,83.79,334.58,1003.22,10.63,cucumber
22.34,60.55,377.81,1028.12,10.66,cucumber
23.95,94.8,858.49,980.87,26.79,cucumber
22.31,54.89,800.18,990.44,2.94,cucumber
25.23,86.17,547.29,993.17,21.55,cucumber
27.27,73.71,605.73,1005.23,8.71,cucumber
11.9,57.77,399.08,1005.08,5.54,cucumber
26.7,90.05,494.62,1001.41,18.75,cucumber
13.07,68.43,694.16,981.28,6.87,cucumber
24.67,78.75,955.07,1000.79,9.44,cucumber
11.76,50.21,847.27,991.62,21.39,cucumber
11.22,61.32,573.02,1000.55,24.94,cucumber
26.96,67.84,277.31,996.95,18.84,cucumber
27.74,56.57,884.07,992.14,7.63,cucumber
17.85,61.31,269.1,1006.59,5.92,cucumber
23.78,89.89,677.24,1002.19,28.35,cucumber
12.7,74.77,576.72,995.09,27.22,cucumber
24.16,68.95,442.95,1026.74,5.75,cucumber
11.69,78.69,230.37,1005.25,13.25,cucumber
26.93,69.22,764.8,1022.87,15.85,cucumber
19.52,63.15,484.18,1026.55,9.27,cucumber
22.11,85.19,162.59,1006.71,1.7,cucumber
19.98,64.54,643.23,983.83,7.28,cucumber
23.0,73.71,492.78,1005.45,12.97,cucumber
17.5,51.07,788.64,983.94,15.31,cucumber
19.25,63.66,628.85,998.92,11.78,cucumber
19.4,86.29,465.51,1004.72,29.12,cucumber
18.67,73.1,604.37,1003.37,15.69,cucumber
26.12,48.46,668.26,1000.69,20.33,cucumber
11.25,58.95,919.51,995.88,17.22,cucumber
24.5,80.38,135.34,1005.57,23.73,cucumber
18.55,91.52,476.6,1004.32,30.0,cucumber
12.97,85.18,596.8,1024.49,7.81,cucumber
