N,P,K,temperature,humidity,ph,EC,weather_temperature,weather_humidity,light_intensity,air_pressure,rainfall,crop
50,56,76,20.99502153,19.8601304,7.966605025,3.33,26.22,65.23,388.97,1003.46,18.49,chickpea
39,71,84,20.28155898,16.39535215,8.140825437,1.46,22.77,66.4,696.66,1009.24,7.42,chickpea
25,78,76,17.48042641,15.7559405,7.228963452,1.3,26.36,76.15,408.43,981.64,3.6,chickpea
31,70,77,20.88818675,14.32313811,6.492546046,1.92,22.7,60.71,586.76,1011.8,9.84,chickpea
26,80,83,17.08498521,16.14565756,7.528599957,3.14,25.23,79.84,743.12,994.28,17.13,chickpea
25,68,77,20.09340593,15.11279612,7.701446446,1.62,12.92,76.27,380.91,994.7,15.7,chickpea
31,78,76,17.57212145,14.99927489,8.519975748,3.31,26.02,60.29,817.12,1027.02,8.72,chickpea
60,68,83,19.12065218,18.43475844,6.620900869,2.07,20.29,68.65,803.22,1004.55,22.81,chickpea
59,62,83,18.57665902,19.22008229,8.104396058,1.62,18.67,88.57,334.72,1023.62,12.84,chickpea
22,67,78,17.16606398,14.42457525,6.204090835,2.2,20.08,57.52,599.73,1005.23,19.59,chickpea
36,65,80,18.2872007,16.67921616,6.051091339,3.34,24.19,80.61,483.59,1029.25,1.08,chickpea
59,60,84,19.03025305,18.66725565,7.690962338,3.41,14.59,70.83,321.93,1024.45,11.78,chickpea
54,77,85,17.1418614,17.0662427,7.829211144,2.73,17.36,86.57,518.62,989.01,12.28,chickpea
43,68,81,17.47809436,17.93253975,6.761599706,1.44,16.38,49.7,847.12,1005.86,8.18,chickpea
28,76,82,20.56601874,14.25803981,6.654425315,1.31,15.17,88.61,724.83,998.98,10.07,chickpea
42,79,85,17.22385224,15.82069268,6.129533877,2.47,15.65,62.44,128.11,992.8,6.26,chickpea
32,60,83,19.69141713,19.44225438,8.829273328,2.3,22.97,81.55,568.23,1020.38,27.02,chickpea
22,78,76,17.84851658,19.09172907,8.621662982,1.34,21.4,90.44,452.42,1018.01,14.97,chickpea
31,79,75,18.8202251,16.1074793,8.204862075,3.44,20.99,88.46,770.85,991.77,18.24,chickpea
28,58,81,17.47500984,16.54314829,6.18042747,1.48,11.55,85.17,915.15,992.15,10.22,chickpea
57,58,77,18.72649425,17.58406365,7.978996755,2.17,27.7,61.57,491.73,1013.08,1.71,chickpea
49,55,78,18.65580107,16.17772668,7.863113671,2.01,18.16,76.41,978.65,1005.44,26.99,chickpea
46,76,77,18.2356751,19.68538502,6.967843048,2.38,13.68,73.12,970.77,986.33,8.94,chickpea
54,61,77,18.81198127,15.21618225,6.206582193,3.3,18.99,78.61,662.15,1027.58,9.04,chickpea
38,60,76,18.65054116,17.80852431,8.868741443,1.9,11.15,57.83,842.66,999.49,9.66,chickpea
59,55,79,20.36720401,16.89574311,8.766128654,1.95,26.31,68.88,945.7,1011.36,6.7,chickpea
36,76,75,18.38120357,16.63805158,8.736337905,1.21,18.48,61.83,204.92,1024.54,7.54,chickpea
57,68,81,17.17012591,17.30457712,8.081095263,1.67,12.13,57.27,297.49,1011.37,0.32,chickpea
35,66,81,19.37101121,15.77458129,6.138243973,2.1,20.3,72.25,128.19,1019.57,24.22,chickpea
35,64,78,17.92845928,14.27327988,7.496645259,2.99,15.21,77.49,849.05,993.78,16.77,chickpea
52,60,79,19.45339934,18.23490739,8.380185271,3.02,12.83,50.55,115.89,1012.52,24.52,chickpea
27,76,83,19.12829388,14.92241479,6.289614016,2.87,23.15,68.73,493.07,1002.38,17.7,chickpea
57,60,84,19.1034283,17.26184541,6.586777189,1.8,20.69,53.7,940.57,996.18,9.91,chickpea
52,68,78,17.48504075,16.96070581,6.89655198,2.83,16.11,70.45,335.49,992.18,21.43,chickpea
43,79,79,19.40751744,18.98030507,7.806747656,2.65,12.07,52.49,139.03,980.22,8.99,chickpea
44,74,85,20.18649426,19.63719995,7.150681303,2.06,21.28,55.85,775.06,985.93,18.02,chickpea
24,55,78,17.30287885,15.15405941,6.64919573,2.96,15.5,83.63,450.72,1022.61,5.37,chickpea
29,77,75,17.50361137,15.48083156,7.778591618,1.83,23.41,84.8,410.6,1007.21,1.71,chickpea
20,60,78,18.17234999,14.70085967,6.358740355,2.04,18.26,80.28,192,1001.27,11.58,chickpea
56,67,78,17.57445618,16.71826572,8.255450758,3.22,26.46,80.86,393.72,1026.57,23.33,chickpea
37,66,85,20.93175255,18.91295403,6.456148474,2.9,26.79,85.35,907.91,982.42,7.65,chickpea
49,71,76,19.71098332,17.63879418,6.613072145,2.99,25.5,68.43,731.1,998.22,4.43,chickpea
59,69,80,19.07937684,17.86754927,8.165359297,1.63,13.47,93.76,499.85,1020.7,1.93,chickpea
20,79,77,18.54988627,16.02542689,7.64867466,3.18,16.81,67.85,948.93,1028.77,1.13,chickpea
24,56,85,18.19903647,17.41333199,6.545888558,1.93,26.04,60.21,487.31,1002.85,23.52,chickpea
51,72,75,18.88852533,14.99451145,7.104224797,2.21,25.13,71.87,172.86,1015.47,30,chickpea
57,73,85,18.49311205,14.72115044,7.358099622,2.76,27.3,77.45,782.3,1000.33,27.57,chickpea
22,64,82,19.48974337,17.17260319,6.4740245,1.39,21.66,83.45,861.74,1024.92,27.59,chickpea
52,73,79,17.25769499,18.74943955,7.840339389,3.59,13.26,92.07,675.18,994.28,6.88,chickpea
29,75,75,19.62416326,18.71483156,7.064790365,2.15,23.2,92.96,829.77,984.25,9.03,chickpea
44,59,78,20.67526473,19.85388984,7.599033472,2.39,23.74,81.85,223.66,994.98,25.46,chickpea
